delay,freq,condition,textbox.text,,
0.4,1000,exp,200,,
0.1,1000,exp,600,,
0.1,1000,exp,400,,469.2000
0.1,1000,exp,350,,421.2608696
0.7,1000,exp,900,,
0.4,1000,exp,500,,
0.4,1000,exp,800,,
0.7,1000,exp,999,,
0.1,400,unexp,350,,
0.4,400,unexp,890,,
0.7,400,unexp,"700
",,
0.7,1000,exp,999,,
0.7,1000,exp,800,,
0.7,400,unexp,999,,
0.1,1000,exp,499,,
0.7,1000,exp,899,,
0.1,400,unexp,350,,
0.4,1000,exp,400,,
0.1,1000,exp,200,,
0.1,1000,exp,300,,
0.4,1000,exp,600,,
0.4,400,unexp,800,,
0.4,1000,exp,800,,
0.7,1000,exp,999,,
0.1,1000,exp,400,,
0.7,400,unexp,900,,
0.4,1000,exp,700,,
0.4,1000,exp,600,,
0.4,1000,exp,600,,
0.1,1000,exp,300,,
0.7,1000,exp,500,,
0.1,400,unexp,250,,
0.4,400,unexp,450,,
0.7,1000,exp,999,,
0.1,1000,exp,200,,
0.7,1000,exp,900,,
0.1,1000,exp,150,,
0.4,1000,exp,750,,
0.7,1000,exp,600,,
0.4,1000,exp,600,,
0.7,1000,exp,600,,
0.4,1000,exp,400,,
0.7,1000,exp,400,,
0.1,400,unexp,200,,
0.7,400,unexp,400,,
0.4,400,unexp,400,,
0.1,1000,exp,200,,
0.1,1000,exp,200,,
0.1,1000,exp,100,,
0.4,1000,exp,400,,
0.1,1000,exp,200,,
0.7,1000,exp,800,,
0.4,1000,exp,600,,
0.7,400,unexp,300,,
0.4,400,unexp,700,,
0.7,1000,exp,500,,
0.7,1000,exp,900,,
0.4,1000,exp,300,,
0.1,400,unexp,200,,
0.1,1000,exp,100,,
0.1,1000,exp,200,,
0.1,400,unexp,100,,
0.1,1000,exp,100,,
0.7,1000,exp,100,,
0.7,1000,exp,200,,
0.7,1000,exp,300,,
0.4,1000,exp,400,,
0.4,1000,exp,700,,
0.4,1000,exp,400,,
0.1,1000,exp,200,,
0.4,400,unexp,200,,
0.7,400,unexp,400,,
0.7,1000,exp,400,,
0.1,400,unexp,200,,
0.4,400,unexp,300,,
0.1,1000,exp,300,,
0.4,1000,exp,200,,
0.1,1000,exp,100,,
0.4,1000,exp,300,,
0.7,400,unexp,500,,
0.7,1000,exp,600,,
0.4,1000,exp,300,,
0.1,1000,exp,300,,
0.7,1000,exp,500,,
0.4,1000,exp,500,,
0.7,1000,exp,500,,
0.4,400,unexp,300,,
0.1,1000,exp,400,,
0.7,400,unexp,300,,
0.1,1000,exp,300,,
0.1,400,unexp,200,,
0.1,1000,exp,400,,
0.7,1000,exp,600,,
0.4,1000,exp,300,,
